;date;text;link
0;2024-02-07 16:15:36;Уважаемые жители! По обращению депутата Законодательного собрания Ржаненкова Александра Николаевича «Театр юных зрителей имени А.А. Брянцева» выделил бесплатные билеты на спектакль: 08 февраля 2024 года в 19:00 состоится постановка спектакля «Маленькие трагедии» Цикл коротких пьес А.С.Пушкина. +16Билеты возле кассы вам по списку выдаст Илона , 8(904)636-63-8009 февраля 2024 года в 19:00 состоится постановка мюзикла - притчи по мотивам романтической феерии  А. Грина  «Алые паруса» 16+ Билеты возле кассы вам по списку выдаст Александр +7 (900) 639-98-67Пишите в личные сообщения, сколько нужно билетов, свои ФИО, телефон Просьба приходить в театр минимум за 30 минут.Пожалуйста пишите в личные сообщение [id514151114|Илоне Ханиной] ваше ФИО, сколько билетов нужно, телефон для связи. Приятного просмотра.;
1;2024-02-07 07:28:56;"Сцена из ночного кошмара в парадной на улице Марата, 54: парень насмерть выпал с лестницы третьего этажа, сломав ветхие перила. Сверху его засыпало обломками.Полицейские установили, что на полу парадной в крови лежит 25-летний уроженец Новгородской области. Судя по всему, погибший распивал алкоголь с компанией на лестничной площадке. Парень, вероятно, облокотился на перила старого фонда, они не выдержали и упали вниз вместе с ним. Зданию в этом году — 125 лет, это доходный дом ""Ренсковый погреб К. О. Шитт"".";
2;2024-02-06 20:19:19;Тени Петербурга...;
3;2024-02-06 09:34:15;На сайте Администрации Санкт-Петербурга на странице Комитета по транспорту опубликовано объявление о сборе предложений о включении частей автомобильных дорог в Адресный перечень платных парковок в Санкт‑Петербурге и исключении частей автомобильных дорог из указанного перечня.При разработке Адресного перечня платных парковок в Санкт‑Петербурге Комитет по транспорту учитывает предложения, поступившие в период с 1 февраля до 1 марта 2024 года по адресу электронной почты: predlozhenia_egpp@transport.gov.spb.ruМожете «закидать меня шапками», но я считаю, что введение платных парковок в Центральном районе во благо, с некоторыми «но»…🖇️ введя платные парковки не решили вопрос с ограничением доступа на придомовую территорию и часть автомобилистов, не проживающих в домах, пытаются ставить свои машины во дворах наших домов и у собсвенников нет возможности поставить свой автомобиль, что ухудшает условия проживания. 🖇️ при наличии мест платных парковок, они должны вовремя чиститься от снега, чтобы ими можно было пользоваться всегда. 🖇️ пересадочный тариф общественного транспорта, должен включать в себя все виды транспорта: метро и наземный. Так люди будут мотивированы пользоваться общественным транспортом, при поездке на работу и по делам.Если вы считаете необходимым, можете отправить в адрес Комитета по транспорту: predlozhenia_egpp@transport.gov.spb.ru свои предложения о том, на какой улице нужно ввести платную парковку, а где по вашему мнению ее нужно убрать.Очень хочется, чтобы автомобилисты и пешеходы помнили, что живем мы в одном городе.Подробнее: https://www.gov.spb.ru/gov/otrasl/c_transport/platnye-parkovki/predlozheniya-o-vklyuchenii-libo-isklyuchenii-chastej-avtomobilnyh-dor/;https://www.gov.spb.ru/gov/otrasl/c_transport/platnye-parkovki/predlozheniya-o-vklyuchenii-libo-isklyuchenii-chastej-avtomobilnyh-dor/
4;2024-02-05 17:48:47;В сад дома Пеля прибыли садовники с топором. Жители призвали полицию и остановили рубку деревьев  В саду дома Пеля на Литейном проспекте, 46 («Бельведер»), начали вырубать деревья. Горожане вызвали полицию и остановили работы. Об этом 5 февраля «Фонтанке» рассказал читатель Дмитрий. «Одно дерево все же спилили наполовину. Полиция приехала остановила работы. Если б не полиция, не отбили бы», — рассказал читатель. Жители готовят жалобы.  Дом Пеля (Гукасовой) с садами и оградами является региональным памятником, старовозрастные деревья — предметы охраны. Рабочие предъявили жителям порубочный билет, из которого следует, что вырубить планируется четыре дерева — белые серебристые ивы. В протоколе обследования сказано, что у деревьев усыхание крон, прикорневая гниль, дереворазрушающие грибы.  По словам собеседника, пострадавшее от рубки дерево — отличное. По его мнению, документы могли быть выданы с нарушениями.  Дмитрий пояснил, что борьба за сохранение деревьев в «Бельведере» длится уже не первый год.  «Эта история уходит корнями в 2021 год, когда они вырубили 9 деревьев и не посадили взамен ни одного. И теперь добивают сад», — рассказал мужчина. Он добавил, что в 2016 году ТСЖ «Пале-Рояль» заказывало томографию тополей, жильцам она обошлась в сумму около 30 тысяч рублей. «И только при установлении их аварийности [ТСЖ] допустило их снос. Остальные 18 деревьев (в порубочном талоне было 27) — липы, вязы, ясени — остались целы», — пояснил Дмитрий.  В комитете по благоустройству «Фонтанке» прокомментировали: «В саду планировалась санитарная рубка деревьев. Под снос были определены 4 дерева. Жители помешали сносу». По информации ведомства, полицию вызвали сотрудники садово-паркового предприятия.  В комитете также подтвердили, что был выдан порубочный билет. А сама рубка согласована с комитетом по охране памятников.  «Фонтанка» рассказывала, что в Петербурге вопрос рубки деревьев, особенно в историческом центре, для горожан больной и часто оборачивается конфликтами, когда жители защищают зеленые насаждения от вырубки. Основатель движения «Деревья Петербурга» Мария Тиника на конкретных примерах показывала, что не всегда вырубка бывает оправданна.;
5;2024-02-04 19:37:07;Вечерний храм Спаса на Крови;
6;2024-02-04 16:11:00;"""В Питере — жить, а не пить""Депутат Госдумы от Санкт-Петербурга Оксана Дмитриева предложила перенести бары и ""наливайки"" в специальные зоныГосдума приняла закон о ""наливайках"". Согласно ему, питейные заведения, которые находятся в жилых домах, могут исчезнуть или их работу сильно ограничат. Но такое решение уже будут принимать сами субъекты. Как это будет реализовано в Петербурге, покажет время.  В разговоре с «Комсомольской Правдой - Петербург» депутат Госдумы Оксана Дмитриева предложила свое решение. «Центр Петербурга не мёртвый. Конечно, в Питере надо не пить, в Питере надо жить. Прежде всего люди должны приезжать сюда, чтобы знакомиться с архитектурным наследием. А местные не должны страдать. Возьмем известную Рубинштейна и во что её превратили. Это ведь ужас. Город обязан подумать, чтобы выделить кварталы, где разместить ночные заведения. Переместить их из жилых домов. На примере ""Новой Голландии"", совершенно отдельное здание со своими барами и кафе. Никто никому не мешает. У нас ведь есть свободные площади в ""Красном треугольнике"" или Апраксином дворе» - заявила Оксана Дмитриева.";
7;2024-02-04 11:58:28;В третьем чтении Госдумой принят федеральный закон о «наливайках», то есть заведениях общепита с продажей алкоголя, расположенных в жилых домах. Надеюсь, этот закон серьезно изменит качественный состав арендаторов на улицах Центрального района.  Закон предусматривает возможность предоставления субъектам федерации права ограничивать оборот алкоголя в точках общепита, расположенных в многоквартирных домах.  По новым правилам с 1 апреля 2024 года региональные власти смогут ограничивать время розничной продажи алкоголя в точках общепита в многоквартирных домах и на прилегающей территории, за исключением ресторанов.  Так же регионы смогут установить требование о том, что пиво, сидры и медовуху можно реализовывать только в таких видах предприятий общественного питания как рестораны, кафе, бары и буфеты.  Вместе с тем в законодательстве субъектов потребуется установление определенных правил и условий, чтобы жители знали, куда, кому и как в случае чего жаловаться, а предприниматели понимали правила, которые нельзя нарушать. <…>  Действующая редакция закона предусматривает, что розничная продажа алкогольной продукции при оказании услуг общественного питания осуществляется только в таких объектах, где есть зал обслуживания посетителей.  Мы уже отправляли обращения и запросы, почему такие точки по продаже алкоголя как «РосАл» торгуют алкогольной продукцией круглосуточно?! Получили ответ, что у них две отдельные лицензии…;
8;2024-02-03 13:41:13;Уважаемые жители! Члены Общественного Совета жителей Центрального района избирательного округа № 2 помогут вам разобраться, что такое городская очередь на жилье, ваши права и возможности. Приглашаем вас принять участие во встрече и задать интересующие вопросы, касающиеся вашего жилья. Мы обсудим ваши права и возможность на получение городского жилья. Разъясним права на получение городского сертификата на жилье и пути их реализации. Встреча состоится во вторник 6 февраля с 14:00 до 16:00 в Общественной приемной депутата Законодательного Собрания Санкт -Петербурга Александра Николаевича Ржаненкова по адресу улица Рубинштейна д. 3, (код домофона 14В).Регистрация обязательна, чтобы не создавать большое количество людей.Для регистрации пишите в личные сообщения - [id1155516|Екатерине Волковой].;
9;2024-02-02 20:56:29;Суворовский проспект у нынешней 2-й Советской улицы1909-й год;
