date;id;text;views.count;likes.count;reposts.count;type;link;from_id;post_id;parents_stack;group_name
2024-06-13 14:34:45;837;"Жителей района Внуково приглашаем принять участие в мероприятии: Владение мячом ""Футбол""";56.0;1;0.0;post;;;;;Управа района Внуково города Москвы
2024-06-13 14:27:37;836;Приглашаем жителей с их питомцами на площадку для выгул собак по адресу:ул.Изваринская д.7 стр .2.;40.0;1;0.0;post;;;;;Управа района Внуково города Москвы
2024-06-10 10:59:38;835;"Алкоголь – это один из самых распространенных наркотиков в мире. Мнение, что он способен снять напряжение и вызвать чувство расслабления, является иллюзорным. Попытка понизить с помощью алкоголя уровень тревоги и страха, поднять настроение и заглушить чувство одиночества оборачивается тяжелой депрессией и формированием устойчивой зависимости от легко доступного наркотического средства.  Какими бы не были причины употребления алкоголя: отдохнуть после рабочего дня, снять напряжение, отвлечься от неприятных мыслей и переживаний, человек со временем обнаруживает, что ни одна из его проблем не решена, что приводит к новому приступу нежелания решать эти проблемы и новому алкогольному забытью. Круг замыкается, намертво удерживая в алкогольных оковах свою жертву.  На фоне злоупотребления спиртным может развиться: алкогольный цирроз печени; гепатит; ожирение печени; гастриты и язвы; рак пищевода; панкреатит. Клетки печени и других органов активно разрушаются ацетальдегидом, который образуется в нашем организме из алкоголя под действием специфического фермента. Из-за высокой калорийности алкогольных напитков, человек, который зависим от них, пьет больше, а ест меньше.  Первичная профилактика алкоголизма включает: – формирование личности, расширение ее ресурсов; – привлечение средств массовой информации к профилактике зависимости; – привлечение подростков к внешкольным занятиям, спорту и труду; – формирование неприятия к спирту.  Огромное значение имеет социальное окружение человека. Если вокруг все живут трезвой жизнью и для создания радостных событий достаточно просто этого захотеть, то умение радоваться жизни и подходить с оптимизмом к решению жизненных ситуаций становится частью бытовой культуры.  От каждого из нас зависит то, насколько трезвой жизнью живут наши друзья. Давайте создавать культуру трезвой и радостной жизни!";78.0;0;0.0;post;;;;;Управа района Внуково города Москвы
2024-06-07 15:19:55;834;"Приглашаем ВСЕХ на фестиваль ""Лето в Москве. Все на улицу!"" Узнать о мероприятиях можно на сайте: https://go.mos.ru/#organizators";117.0;6;0.0;post;https://go.mos.ru/#organizators;;;;Управа района Внуково города Москвы
2024-06-07 15:08:38;833;07.06.2024 года глава Совета депутатов района Внуково Рогов В.И. совместно с депутатами Заковрановой Е.Д. и Копыневой А.В. поздравили социальных работников района с их профессиональным праздником. Пожелал им здоровья и успехов в их нелегком, но очень важном труде;233.0;16;1.0;post;;;;;Управа района Внуково города Москвы
2024-06-01 15:11:33;823;Лето в Москве! Все на улицу! Ждём в парке Аллеи Славы!;298.0;13;0.0;post;;;;;Управа района Внуково города Москвы
2024-06-01 10:17:07;822;"Сегодня, в День защиты детей стартовал городской  фестиваль ""Лето в Москве! Все на улицу!"" Ждем вас на спортивной площадке в парке Аллеи Славы с 10.00 до 22.00.";180.0;7;1.0;post;;;;;Управа района Внуково города Москвы
2024-05-31 09:09:24;821;Время встречать лето в Москве!Спортивные танцы для всей семьи в эту субботуУл. Изваринская д.3 к. 3 в 12.00;105.0;1;1.0;post;;;;;Управа района Внуково города Москвы
2024-05-30 14:21:28;811;"Приглашаем на открытие фестивальной площадки ""Лето в Москве! Все на улицу!""";664.0;7;2.0;post;;;;;Управа района Внуково города Москвы
2024-05-30 14:15:00;810;1 июня стартует общегородской проект «Лето в Москве. Все на улицу!», который продлится 100 дней до 8 сентября включительно. Площадками фестиваля станут парк «Пыхтино» и спортивная площадка парка Аллея Славы. Каждый день с 10 до 22 часов для гостей будут проводиться увлекательные активности и мастер-классы. Ждем вас 1 июня в 10:00 на открытие фестиваля! К началу подготовили самое интересное, также гости смогут получить призы и подарки!;272.0;10;3.0;post;;;;;Управа района Внуково города Москвы
2024-05-30 12:07:45;806;"При выходе из зоны отдыха на ул. Рассказовская стоят ""колокольчики"". Туда можно выкинуть стекло или пластик для переработки. Так вы поможете сохранить природу. Сдай вещи на переработку и поставь плюсик в список добрых дел на сегодня!";966.0;9;2.0;post;;;;;Управа района Внуково города Москвы
2024-05-29 12:05:40;805;"Музей истории района Внуково приглашает посетить культурно-познавательную программу ""Романтика и будни авиации: прогулка по району Внуково и творческий пикник"".  Совместно с экскурсоводом музея участники прогулки пройдут по историческим местам района Внуково, увидят памятники и изучат архитектуру XX века, узнают о строительстве единственного находящего в черте города Москвы аэропорта, а также авиагородка — современного района Внуково, познакомятся с романтикой и сложностями лётной профессии, судьбами героев Внукова.  Прогулка завершится в зоне отдыха у Пыхтинского пруда, где экскурсанты смогут отдохнуть и принять участие в мастер-классе под руководством художника-искусствоведа — создать художественные композиции по полученным впечатлениям.  Программа особенно актуальна для обучающихся детских школ искусств и художественных студий.   • 31 мая в 11:00 Адрес проведения: ул. Большая Внуковская, д. 6 Метро: Аэропорт Внуково Рекомендуемый возраст: 12+  Бесплатная регистрация: https://kulturnyy-tsentr-vn-2023.timepad.ru/event/2899349/";147.0;5;0.0;post;https://kulturnyy-tsentr-vn-2023.timepad.ru/event/2899349/;;;;Управа района Внуково города Москвы
