,FROM,TO,SIMILARITY_SCORE
0,проводиться,провод,"tensor([0.8136], device='cuda:0', grad_fn=<SumBackward1>)"
1,холодное,обстановка,"tensor([0.8213], device='cuda:0', grad_fn=<SumBackward1>)"
2,посыпать,отключать,"tensor([0.8589], device='cuda:0', grad_fn=<SumBackward1>)"
3,сантехник,сантехника,"tensor([0.8772], device='cuda:0', grad_fn=<SumBackward1>)"
4,замёрзнуть,яхнуть,"tensor([0.8268], device='cuda:0', grad_fn=<SumBackward1>)"
5,закрасить,закрашивать,"tensor([0.8365], device='cuda:0', grad_fn=<SumBackward1>)"
6,утром,вечером,"tensor([0.8790], device='cuda:0', grad_fn=<SumBackward1>)"
7,игнорироваться,убираться,"tensor([0.8222], device='cuda:0', grad_fn=<SumBackward1>)"
8,игнорироваться,прекращаться,"tensor([0.8007], device='cuda:0', grad_fn=<SumBackward1>)"
9,заделать,заграждать,"tensor([0.8189], device='cuda:0', grad_fn=<SumBackward1>)"
10,очиститься,убираться,"tensor([0.8641], device='cuda:0', grad_fn=<SumBackward1>)"
11,очиститься,включиться,"tensor([0.8280], device='cuda:0', grad_fn=<SumBackward1>)"
12,очиститься,вывозиться,"tensor([0.8050], device='cuda:0', grad_fn=<SumBackward1>)"
13,очиститься,убраться,"tensor([0.8311], device='cuda:0', grad_fn=<SumBackward1>)"
14,очиститься,планироваться,"tensor([0.8237], device='cuda:0', grad_fn=<SumBackward1>)"
15,звонить,позвонить,"tensor([0.8734], device='cuda:0', grad_fn=<SumBackward1>)"
16,звонить,сообщить,"tensor([0.8272], device='cuda:0', grad_fn=<SumBackward1>)"
17,жаловаться,сквер,"tensor([0.8046], device='cuda:0', grad_fn=<SumBackward1>)"
18,возгорание,пожар,"tensor([0.8146], device='cuda:0', grad_fn=<SumBackward1>)"
19,инженер,инженерный,"tensor([0.8498], device='cuda:0', grad_fn=<SumBackward1>)"
20,октябрь,сентябрь,"tensor([0.8522], device='cuda:0', grad_fn=<SumBackward1>)"
21,октябрь,март,"tensor([0.8049], device='cuda:0', grad_fn=<SumBackward1>)"
22,затопить,простудить,"tensor([0.8176], device='cuda:0', grad_fn=<SumBackward1>)"
23,платить,заплатить,"tensor([0.8692], device='cuda:0', grad_fn=<SumBackward1>)"
24,узнать,убрать,"tensor([0.8226], device='cuda:0', grad_fn=<SumBackward1>)"
25,вывозить,вывезти,"tensor([0.8409], device='cuda:0', grad_fn=<SumBackward1>)"
26,петербург,оплачивать,"tensor([0.8006], device='cuda:0', grad_fn=<SumBackward1>)"
27,петербург,набережная,"tensor([0.8120], device='cuda:0', grad_fn=<SumBackward1>)"
28,очистить,март,"tensor([0.8110], device='cuda:0', grad_fn=<SumBackward1>)"
29,осуществлять,осуществляться,"tensor([0.8585], device='cuda:0', grad_fn=<SumBackward1>)"
30,балкон,комната,"tensor([0.8030], device='cuda:0', grad_fn=<SumBackward1>)"
31,убираться,включиться,"tensor([0.8013], device='cuda:0', grad_fn=<SumBackward1>)"
32,убираться,убраться,"tensor([0.8224], device='cuda:0', grad_fn=<SumBackward1>)"
33,сентябрь,март,"tensor([0.8007], device='cuda:0', grad_fn=<SumBackward1>)"
34,паспорт,проживание,"tensor([0.8107], device='cuda:0', grad_fn=<SumBackward1>)"
35,находиться,разница,"tensor([0.8299], device='cuda:0', grad_fn=<SumBackward1>)"
36,расселить,выпалить,"tensor([0.8418], device='cuda:0', grad_fn=<SumBackward1>)"
37,разница,потолок,"tensor([0.8163], device='cuda:0', grad_fn=<SumBackward1>)"
38,игнорировать,приглашать,"tensor([0.8100], device='cuda:0', grad_fn=<SumBackward1>)"
39,рекламный,реклама,"tensor([0.8162], device='cuda:0', grad_fn=<SumBackward1>)"
40,новогодний,утренний,"tensor([0.8124], device='cuda:0', grad_fn=<SumBackward1>)"
41,центральный,наш,"tensor([0.8117], device='cuda:0', grad_fn=<SumBackward1>)"
42,здание,помещение,"tensor([0.8032], device='cuda:0', grad_fn=<SumBackward1>)"
43,трещина,глыба,"tensor([0.8118], device='cuda:0', grad_fn=<SumBackward1>)"
44,делать,видеть,"tensor([0.8086], device='cuda:0', grad_fn=<SumBackward1>)"
45,задолженность,авария,"tensor([0.8170], device='cuda:0', grad_fn=<SumBackward1>)"
46,чистить,расчистить,"tensor([0.8076], device='cuda:0', grad_fn=<SumBackward1>)"
47,загрязнить,простудить,"tensor([0.8167], device='cuda:0', grad_fn=<SumBackward1>)"
48,загрязнить,выпалить,"tensor([0.8415], device='cuda:0', grad_fn=<SumBackward1>)"
49,водоснабжение,электроснабжение,"tensor([0.8017], device='cuda:0', grad_fn=<SumBackward1>)"
50,проверить,упасть,"tensor([0.8167], device='cuda:0', grad_fn=<SumBackward1>)"
51,проверить,проверять,"tensor([0.8509], device='cuda:0', grad_fn=<SumBackward1>)"
52,снегопад,снег,"tensor([0.8136], device='cuda:0', grad_fn=<SumBackward1>)"
53,третий,видеть,"tensor([0.8117], device='cuda:0', grad_fn=<SumBackward1>)"
54,третий,второй,"tensor([0.8585], device='cuda:0', grad_fn=<SumBackward1>)"
55,улица,пенсионер,"tensor([0.8091], device='cuda:0', grad_fn=<SumBackward1>)"
56,грузовой,пассажирский,"tensor([0.8050], device='cuda:0', grad_fn=<SumBackward1>)"
57,кор,отсутствовать,"tensor([0.8085], device='cuda:0', grad_fn=<SumBackward1>)"
58,простудить,выпалить,"tensor([0.8721], device='cuda:0', grad_fn=<SumBackward1>)"
59,простудить,травить,"tensor([0.8314], device='cuda:0', grad_fn=<SumBackward1>)"
60,четверг,понедельник,"tensor([0.8800], device='cuda:0', grad_fn=<SumBackward1>)"
61,проживать,проживание,"tensor([0.8073], device='cuda:0', grad_fn=<SumBackward1>)"
62,беспокоиться,нагреться,"tensor([0.8505], device='cuda:0', grad_fn=<SumBackward1>)"
63,утверждать,разместить,"tensor([0.8026], device='cuda:0', grad_fn=<SumBackward1>)"
64,сосед,соседний,"tensor([0.8007], device='cuda:0', grad_fn=<SumBackward1>)"
